experience_years,age,projects_completed,training_hours,salary_lakh,experience_score,project_experience_ratio
9.5,58.0,5.0,41.0,13.9,0.475,0.47619047619047616
18.7,54.0,14.0,65.0,21.3,0.9349999999999999,0.7106598984771574
12.0,30.0,7.0,36.0,15.1,0.6,0.5384615384615384
13.0,47.0,2.0,45.0,16.7,0.65,0.14285714285714285
11.3,47.0,15.0,78.0,15.4,0.5650000000000001,1.2195121951219512
18.0,57.0,4.0,92.0,22.9,0.9,0.21052631578947367
7.1,24.0,10.0,98.0,16.0,0.355,1.234567901234568
10.6,36.0,8.0,14.0,14.7,0.53,0.6896551724137931
2.7,48.0,6.0,67.0,4.9,0.135,1.6216216216216215
14.3,34.0,19.0,17.0,13.1,0.7150000000000001,1.2418300653594772
5.5,55.0,1.0,60.0,9.5,0.275,0.15384615384615385
4.2,38.0,14.0,79.0,7.6,0.21000000000000002,2.692307692307692
6.7,57.0,19.0,2.0,14.0,0.335,2.4675324675324677
1.5,36.0,7.0,74.0,8.6,0.075,2.8
3.8,43.0,2.0,96.0,6.8,0.19,0.4166666666666667
3.5,56.0,16.0,41.0,9.9,0.175,3.5555555555555554
8.1,22.0,2.0,49.0,12.4,0.40499999999999997,0.21978021978021978
5.6,31.0,4.0,82.0,9.2,0.27999999999999997,0.6060606060606061
16.9,29.0,10.0,32.0,17.4,0.845,0.558659217877095
5.8,41.0,14.0,55.0,9.5,0.29,2.058823529411765
19.4,51.0,10.0,12.0,24.5,0.97,0.4901960784313726
3.5,25.0,19.0,80.0,6.5,0.175,4.222222222222222
10.3,40.0,1.0,48.0,11.2,0.515,0.08849557522123894
19.9,51.0,8.0,84.0,20.9,0.9949999999999999,0.3827751196172249
18.2,27.0,20.0,22.0,23.1,0.9099999999999999,1.0416666666666667
5.4,26.0,18.0,64.0,9.6,0.27,2.8125
1.8,21.0,9.0,22.0,6.1,0.09,3.2142857142857144
8.2,58.0,8.0,22.0,11.2,0.41,0.8695652173913044
4.7,23.0,9.0,7.0,8.6,0.23500000000000001,1.5789473684210527
5.1,31.0,6.0,71.0,10.8,0.255,0.9836065573770493
9.9,23.0,4.0,4.0,17.0,0.495,0.36697247706422015
12.9,27.0,6.0,93.0,16.1,0.645,0.4316546762589928
16.3,50.0,12.0,99.0,20.5,0.8150000000000001,0.6936416184971098
7.1,30.0,19.0,80.0,14.2,0.355,2.345679012345679
14.8,30.0,3.0,52.0,16.0,0.74,0.18987341772151897
1.7,21.0,11.0,36.0,8.2,0.08499999999999999,4.0740740740740735
13.9,57.0,12.0,49.0,16.8,0.6950000000000001,0.8053691275167785
4.9,32.0,12.0,39.0,6.0,0.24500000000000002,2.0338983050847457
1.8,42.0,19.0,83.0,9.3,0.09,6.7857142857142865
16.9,52.0,9.0,75.0,19.3,0.845,0.5027932960893855
5.3,48.0,4.0,49.0,6.9,0.265,0.6349206349206349
19.6,27.0,1.0,50.0,17.1,0.9800000000000001,0.04854368932038835
6.8,34.0,1.0,52.0,7.2,0.33999999999999997,0.12820512820512822
5.2,43.0,3.0,41.0,3.9,0.26,0.48387096774193544
14.3,32.0,8.0,95.0,19.1,0.7150000000000001,0.5228758169934641
8.8,24.0,14.0,63.0,14.2,0.44000000000000006,1.4285714285714284
12.7,37.0,3.0,40.0,15.2,0.635,0.21897810218978103
16.2,39.0,7.0,42.0,20.0,0.8099999999999999,0.4069767441860465
16.9,32.0,3.0,42.0,15.9,0.845,0.1675977653631285
14.0,22.0,0.0,71.0,16.3,0.7,0.0
14.9,21.0,8.0,37.0,18.5,0.745,0.5031446540880503
13.9,58.0,2.0,2.0,14.3,0.6950000000000001,0.1342281879194631
9.2,42.0,17.0,62.0,14.2,0.45999999999999996,1.6666666666666667
10.3,33.0,13.0,64.0,14.3,0.515,1.1504424778761062
13.8,22.0,18.0,13.0,15.6,0.6900000000000001,1.2162162162162162
9.9,35.0,16.0,1.0,11.9,0.495,1.4678899082568806
16.5,28.0,15.0,32.0,18.7,0.825,0.8571428571428571
15.4,21.0,15.0,10.0,20.2,0.77,0.9146341463414634
16.7,31.0,3.0,44.0,18.5,0.835,0.16949152542372883
2.2,47.0,7.0,25.0,3.9,0.11000000000000001,2.1875
19.9,40.0,2.0,37.0,20.6,0.9949999999999999,0.09569377990430622
11.3,38.0,7.0,23.0,12.1,0.5650000000000001,0.5691056910569106
18.1,35.0,6.0,5.0,18.9,0.905,0.31413612565445026
2.4,56.0,2.0,36.0,6.9,0.12,0.5882352941176471
17.5,56.0,20.0,54.0,23.2,0.875,1.0810810810810811
15.6,47.0,10.0,72.0,22.3,0.78,0.6024096385542168
0.8,25.0,11.0,25.0,1.7,0.04,6.111111111111111
9.6,27.0,7.0,24.0,8.3,0.48,0.6603773584905661
20.0,29.0,9.0,21.0,20.3,1.0,0.42857142857142855
7.0,49.0,13.0,53.0,11.5,0.35,1.625
18.6,45.0,8.0,64.0,20.4,0.93,0.4081632653061224
15.2,28.0,1.0,79.0,13.7,0.76,0.0617283950617284
15.6,28.0,14.0,65.0,17.5,0.78,0.8433734939759036
5.0,56.0,14.0,5.0,12.0,0.25,2.3333333333333335
2.5,50.0,13.0,16.0,5.0,0.125,3.7142857142857144
5.7,46.0,15.0,49.0,12.0,0.28500000000000003,2.2388059701492535
17.5,46.0,16.0,1.0,18.7,0.875,0.8648648648648649
9.4,31.0,18.0,74.0,14.1,0.47000000000000003,1.7307692307692306
7.5,58.0,4.0,34.0,10.9,0.375,0.47058823529411764
15.5,24.0,14.0,86.0,20.6,0.775,0.8484848484848485
12.1,38.0,16.0,93.0,19.9,0.605,1.2213740458015268
17.5,31.0,19.0,23.0,23.8,0.875,1.027027027027027
18.8,54.0,9.0,35.0,20.1,0.9400000000000001,0.45454545454545453
17.1,41.0,15.0,95.0,21.1,0.8550000000000001,0.8287292817679557
14.6,51.0,11.0,20.0,14.1,0.73,0.7051282051282052
19.9,50.0,9.0,33.0,24.8,0.9949999999999999,0.430622009569378
13.5,44.0,6.0,72.0,15.3,0.675,0.41379310344827586
11.5,31.0,11.0,77.0,13.6,0.575,0.88
9.1,56.0,10.0,14.0,13.7,0.45499999999999996,0.9900990099009901
9.7,40.0,12.0,89.0,15.9,0.485,1.1214953271028039
13.8,34.0,13.0,41.0,18.3,0.6900000000000001,0.8783783783783783
2.5,27.0,13.0,45.0,8.5,0.125,3.7142857142857144
1.6,31.0,6.0,3.0,8.2,0.08,2.3076923076923075
13.3,21.0,14.0,6.0,21.7,0.665,0.979020979020979
16.2,32.0,14.0,52.0,17.2,0.8099999999999999,0.813953488372093
14.5,27.0,9.0,55.0,15.2,0.725,0.5806451612903226
1.2,30.0,11.0,47.0,1.9,0.06,5.0
16.4,57.0,0.0,51.0,17.4,0.82,0.0
18.3,21.0,15.0,21.0,21.1,0.915,0.7772020725388601
1.5,58.0,8.0,91.0,8.8,0.075,3.2
5.3,47.0,11.0,97.0,12.1,0.265,1.746031746031746
3.2,26.0,2.0,83.0,6.2,0.16,0.47619047619047616
11.8,39.0,14.0,66.0,17.6,0.5900000000000001,1.09375
10.9,29.0,6.0,57.0,11.8,0.545,0.5042016806722689
0.9,56.0,5.0,43.0,7.2,0.045,2.6315789473684212
12.9,40.0,19.0,36.0,17.3,0.645,1.3669064748201438
14.1,51.0,5.0,13.0,16.5,0.705,0.33112582781456956
8.1,52.0,1.0,30.0,9.7,0.40499999999999997,0.10989010989010989
16.8,29.0,8.0,68.0,20.4,0.8400000000000001,0.449438202247191
10.7,60.0,11.0,76.0,17.5,0.5349999999999999,0.9401709401709403
12.2,25.0,1.0,72.0,13.6,0.61,0.07575757575757576
12.3,60.0,9.0,81.0,14.4,0.615,0.6766917293233082
1.7,52.0,12.0,88.0,11.3,0.08499999999999999,4.444444444444444
19.5,37.0,2.0,84.0,23.3,0.975,0.0975609756097561
1.9,47.0,20.0,68.0,8.7,0.095,6.8965517241379315
5.1,37.0,19.0,91.0,13.0,0.255,3.114754098360656
15.4,44.0,3.0,99.0,16.2,0.77,0.1829268292682927
14.6,52.0,2.0,26.0,14.6,0.73,0.12820512820512822
8.4,48.0,10.0,5.0,11.1,0.42000000000000004,1.0638297872340425
3.3,29.0,8.0,13.0,5.5,0.16499999999999998,1.8604651162790697
7.7,49.0,15.0,97.0,11.4,0.385,1.7241379310344829
11.1,34.0,10.0,60.0,14.1,0.5549999999999999,0.8264462809917356
8.7,45.0,7.0,35.0,12.6,0.43499999999999994,0.7216494845360826
12.1,38.0,6.0,37.0,13.1,0.605,0.4580152671755725
9.1,35.0,1.0,9.0,13.1,0.45499999999999996,0.09900990099009901
11.7,56.0,18.0,32.0,18.2,0.585,1.4173228346456694
4.5,45.0,20.0,46.0,10.2,0.225,3.6363636363636362
17.3,58.0,20.0,90.0,22.6,0.865,1.0928961748633879
5.5,26.0,20.0,1.0,10.7,0.275,3.076923076923077
0.6,34.0,7.0,63.0,7.4,0.03,4.375
7.2,51.0,7.0,47.0,9.4,0.36,0.853658536585366
14.9,40.0,0.0,9.0,15.1,0.745,0.0
18.0,37.0,15.0,55.0,22.0,0.9,0.7894736842105263
6.3,30.0,0.0,73.0,10.6,0.315,0.0
2.4,52.0,15.0,16.0,7.6,0.12,4.411764705882353
4.0,27.0,4.0,56.0,7.0,0.2,0.8
15.8,53.0,15.0,8.0,17.8,0.79,0.8928571428571428
16.4,50.0,12.0,25.0,20.0,0.82,0.6896551724137931
6.5,55.0,3.0,65.0,14.1,0.325,0.4
9.9,55.0,10.0,63.0,12.2,0.495,0.9174311926605504
16.5,55.0,15.0,80.0,14.9,0.825,0.8571428571428571
4.2,55.0,18.0,61.0,12.8,0.21000000000000002,3.4615384615384612
3.2,57.0,0.0,58.0,6.2,0.16,0.0
11.1,31.0,20.0,59.0,13.1,0.5549999999999999,1.6528925619834711
11.7,59.0,0.0,82.0,12.6,0.585,0.0
4.3,33.0,19.0,10.0,8.1,0.215,3.5849056603773586
9.9,34.0,14.0,55.0,12.4,0.495,1.2844036697247705
15.0,41.0,7.0,41.0,14.9,0.75,0.4375
3.4,22.0,3.0,89.0,9.7,0.16999999999999998,0.6818181818181818
3.4,35.0,7.0,93.0,6.5,0.16999999999999998,1.5909090909090908
16.0,40.0,16.0,91.0,22.8,0.8,0.9411764705882353
11.5,38.0,19.0,25.0,14.2,0.575,1.52
1.8,42.0,3.0,98.0,5.9,0.09,1.0714285714285714
3.6,58.0,17.0,79.0,11.7,0.18,3.695652173913044
0.6,42.0,0.0,74.0,4.8,0.03,0.0
2.6,39.0,20.0,85.0,8.5,0.13,5.555555555555555
8.3,58.0,8.0,62.0,12.8,0.41500000000000004,0.8602150537634408
18.1,47.0,17.0,58.0,22.3,0.905,0.8900523560209423
10.3,53.0,10.0,58.0,13.1,0.515,0.8849557522123893
19.9,51.0,16.0,90.0,24.9,0.9949999999999999,0.7655502392344498
7.2,26.0,15.0,46.0,16.3,0.36,1.829268292682927
6.6,44.0,16.0,49.0,14.6,0.32999999999999996,2.1052631578947367
12.9,22.0,0.0,77.0,12.8,0.645,0.0
18.9,47.0,15.0,30.0,20.7,0.945,0.7537688442211056
6.4,46.0,6.0,97.0,6.8,0.32,0.8108108108108107
13.4,49.0,6.0,19.0,14.7,0.67,0.41666666666666663
9.6,41.0,0.0,96.0,9.9,0.48,0.0
0.2,42.0,9.0,92.0,4.1,0.01,7.5
16.7,22.0,14.0,63.0,24.3,0.835,0.7909604519774012
11.6,39.0,2.0,95.0,13.4,0.58,0.15873015873015872
11.9,26.0,0.0,26.0,12.3,0.595,0.0
11.7,47.0,14.0,19.0,14.0,0.585,1.1023622047244095
16.3,46.0,2.0,99.0,18.4,0.8150000000000001,0.11560693641618497
11.8,44.0,2.0,56.0,12.0,0.5900000000000001,0.15625
17.8,27.0,3.0,2.0,18.8,0.89,0.15957446808510636
8.2,28.0,7.0,82.0,10.2,0.41,0.7608695652173914
5.7,37.0,13.0,65.0,11.2,0.28500000000000003,1.9402985074626866
5.9,40.0,8.0,66.0,9.2,0.29500000000000004,1.1594202898550725
16.6,57.0,18.0,98.0,22.0,0.8300000000000001,1.0227272727272727
5.0,46.0,19.0,43.0,12.4,0.25,3.1666666666666665
19.3,41.0,3.0,65.0,21.8,0.9650000000000001,0.14778325123152708
19.1,27.0,2.0,55.0,17.5,0.9550000000000001,0.09950248756218905
12.2,36.0,13.0,34.0,11.6,0.61,0.9848484848484849
14.4,43.0,10.0,99.0,15.5,0.72,0.6493506493506493
20.0,54.0,4.0,67.0,21.4,1.0,0.19047619047619047
18.3,40.0,17.0,3.0,22.0,0.915,0.8808290155440415
17.9,24.0,7.0,75.0,22.7,0.8949999999999999,0.3703703703703704
2.7,23.0,14.0,85.0,8.3,0.135,3.7837837837837838
12.1,51.0,6.0,82.0,14.4,0.605,0.4580152671755725
18.7,46.0,17.0,88.0,19.3,0.9349999999999999,0.8629441624365483
2.0,31.0,8.0,53.0,6.6,0.1,2.6666666666666665
9.4,21.0,11.0,29.0,16.5,0.47000000000000003,1.0576923076923077
2.7,56.0,18.0,43.0,8.4,0.135,4.864864864864865
5.1,52.0,19.0,65.0,9.3,0.255,3.114754098360656
9.7,45.0,19.0,64.0,13.9,0.485,1.7757009345794394
9.9,58.0,11.0,31.0,15.4,0.495,1.0091743119266054
16.7,31.0,20.0,69.0,22.6,0.835,1.1299435028248588
10.5,28.0,0.0,100.0,16.7,0.525,0.0
14.4,31.0,18.0,96.0,17.5,0.72,1.1688311688311688
2.9,21.0,16.0,66.0,6.6,0.145,4.102564102564103
1.2,32.0,10.0,21.0,5.7,0.06,4.545454545454545
15.9,21.0,20.0,52.0,18.0,0.795,1.183431952662722
10.5,31.0,20.0,51.0,15.9,0.525,1.7391304347826086
5.8,27.0,16.0,13.0,11.5,0.29,2.3529411764705883
16.3,27.0,4.0,9.0,17.6,0.8150000000000001,0.23121387283236994
12.5,28.0,4.0,9.0,16.3,0.625,0.2962962962962963
2.9,40.0,7.0,4.0,5.5,0.145,1.794871794871795
8.3,32.0,13.0,69.0,13.1,0.41500000000000004,1.3978494623655913
2.7,26.0,15.0,23.0,9.8,0.135,4.0540540540540535
13.5,59.0,19.0,6.0,15.4,0.675,1.3103448275862069
2.3,21.0,4.0,38.0,7.3,0.11499999999999999,1.2121212121212122
2.9,52.0,11.0,15.0,4.6,0.145,2.8205128205128207
8.1,21.0,4.0,97.0,11.5,0.40499999999999997,0.43956043956043955
8.1,26.0,18.0,34.0,15.3,0.40499999999999997,1.978021978021978
8.9,43.0,11.0,1.0,16.7,0.445,1.1111111111111112
2.4,45.0,7.0,50.0,5.6,0.12,2.058823529411765
15.8,50.0,1.0,69.0,19.2,0.79,0.05952380952380952
5.7,50.0,20.0,37.0,10.5,0.28500000000000003,2.9850746268656714
11.5,47.0,12.0,96.0,15.5,0.575,0.96
5.8,33.0,9.0,36.0,11.7,0.29,1.3235294117647058
1.8,42.0,10.0,5.0,3.3,0.09,3.5714285714285716
16.0,33.0,7.0,43.0,18.1,0.8,0.4117647058823529
11.0,30.0,18.0,9.0,17.3,0.55,1.5
15.7,60.0,6.0,13.0,16.0,0.7849999999999999,0.3592814371257485
17.2,47.0,1.0,56.0,17.7,0.86,0.054945054945054944
17.4,36.0,0.0,96.0,20.8,0.8699999999999999,0.0
10.1,33.0,18.0,96.0,16.5,0.505,1.6216216216216217
5.3,22.0,7.0,89.0,8.6,0.265,1.1111111111111112
12.5,60.0,15.0,16.0,16.3,0.625,1.1111111111111112
18.8,24.0,8.0,92.0,22.5,0.9400000000000001,0.40404040404040403
10.5,55.0,13.0,77.0,16.4,0.525,1.1304347826086956
19.0,60.0,4.0,61.0,21.1,0.95,0.2
6.4,22.0,18.0,63.0,13.1,0.32,2.4324324324324325
5.7,45.0,5.0,65.0,11.9,0.28500000000000003,0.7462686567164178
16.0,38.0,18.0,59.0,22.6,0.8,1.0588235294117647
4.3,35.0,3.0,68.0,4.4,0.215,0.5660377358490566
3.9,35.0,10.0,66.0,7.3,0.195,2.0408163265306123
5.3,37.0,13.0,6.0,10.4,0.265,2.0634920634920637
8.9,54.0,7.0,15.0,12.8,0.445,0.7070707070707071
18.7,29.0,3.0,23.0,16.4,0.9349999999999999,0.15228426395939088
8.0,55.0,10.0,38.0,12.6,0.4,1.1111111111111112
0.0,55.0,14.0,10.0,9.3,0.0,14.0
19.8,42.0,15.0,17.0,24.6,0.99,0.7211538461538461
3.0,56.0,4.0,68.0,5.9,0.15,1.0
7.4,46.0,11.0,2.0,8.4,0.37,1.3095238095238095
18.4,41.0,11.0,87.0,21.7,0.9199999999999999,0.5670103092783506
17.0,60.0,6.0,65.0,16.7,0.85,0.3333333333333333
13.3,50.0,11.0,66.0,18.0,0.665,0.7692307692307692
4.8,31.0,18.0,6.0,11.3,0.24,3.103448275862069
3.2,57.0,3.0,2.0,10.4,0.16,0.7142857142857143
7.0,52.0,5.0,81.0,8.2,0.35,0.625
1.1,39.0,16.0,34.0,8.2,0.05500000000000001,7.619047619047619
18.4,45.0,10.0,15.0,20.5,0.9199999999999999,0.5154639175257733
14.2,41.0,6.0,1.0,14.7,0.71,0.39473684210526316
6.1,59.0,13.0,10.0,9.8,0.305,1.8309859154929577
19.9,37.0,16.0,41.0,20.3,0.9949999999999999,0.7655502392344498
6.5,24.0,1.0,34.0,12.4,0.325,0.13333333333333333
12.4,59.0,2.0,92.0,14.0,0.62,0.14925373134328357
16.2,33.0,10.0,57.0,14.7,0.8099999999999999,0.5813953488372093
1.5,34.0,4.0,49.0,4.4,0.075,1.6
1.9,44.0,19.0,67.0,8.7,0.095,6.551724137931035
6.6,23.0,0.0,14.0,8.1,0.32999999999999996,0.0
19.7,53.0,14.0,4.0,20.8,0.985,0.6763285024154589
13.2,59.0,13.0,44.0,14.0,0.6599999999999999,0.9154929577464789
8.4,27.0,3.0,20.0,10.4,0.42000000000000004,0.3191489361702127
11.5,56.0,19.0,79.0,14.6,0.575,1.52
10.5,24.0,3.0,76.0,14.7,0.525,0.2608695652173913
3.0,53.0,6.0,97.0,8.0,0.15,1.5
17.4,37.0,1.0,45.0,17.8,0.8699999999999999,0.05434782608695653
5.4,34.0,5.0,66.0,9.9,0.27,0.78125
5.8,52.0,4.0,94.0,10.5,0.29,0.5882352941176471
6.9,22.0,14.0,14.0,9.9,0.34500000000000003,1.7721518987341771
1.3,45.0,0.0,57.0,6.2,0.065,0.0
1.9,58.0,12.0,87.0,6.2,0.095,4.137931034482759
9.8,28.0,9.0,53.0,14.1,0.49000000000000005,0.8333333333333333
11.5,59.0,9.0,90.0,16.4,0.575,0.72
14.9,50.0,16.0,13.0,16.7,0.745,1.0062893081761006
4.1,41.0,14.0,45.0,11.4,0.205,2.7450980392156863
0.5,39.0,7.0,56.0,4.8,0.025,4.666666666666667
16.8,53.0,10.0,26.0,15.8,0.8400000000000001,0.5617977528089887
8.4,48.0,17.0,35.0,15.5,0.42000000000000004,1.8085106382978722
7.1,48.0,8.0,44.0,12.2,0.355,0.9876543209876544
6.6,41.0,5.0,2.0,9.5,0.32999999999999996,0.6578947368421053
12.3,44.0,4.0,6.0,13.9,0.615,0.3007518796992481
0.4,45.0,14.0,6.0,3.8,0.02,10.0
1.8,39.0,18.0,37.0,10.7,0.09,6.428571428571429
12.2,44.0,7.0,20.0,11.8,0.61,0.5303030303030303
15.3,46.0,2.0,53.0,19.1,0.765,0.12269938650306748
9.1,35.0,9.0,63.0,14.5,0.45499999999999996,0.8910891089108911
11.3,58.0,6.0,19.0,15.9,0.5650000000000001,0.4878048780487805
4.0,43.0,19.0,71.0,10.2,0.2,3.8
2.7,29.0,19.0,7.0,5.9,0.135,5.135135135135135
18.7,37.0,15.0,98.0,16.8,0.9349999999999999,0.7614213197969544
13.9,46.0,19.0,27.0,16.6,0.6950000000000001,1.2751677852348993
7.7,42.0,15.0,84.0,10.5,0.385,1.7241379310344829
7.0,51.0,14.0,90.0,13.1,0.35,1.75
13.4,32.0,12.0,54.0,16.1,0.67,0.8333333333333333
15.2,33.0,2.0,42.0,14.7,0.76,0.1234567901234568
10.9,32.0,6.0,9.0,12.6,0.545,0.5042016806722689
17.4,38.0,6.0,32.0,18.0,0.8699999999999999,0.32608695652173914
11.9,49.0,7.0,17.0,10.8,0.595,0.5426356589147286
11.4,34.0,15.0,80.0,18.6,0.5700000000000001,1.2096774193548387
19.1,50.0,18.0,8.0,21.9,0.9550000000000001,0.8955223880597014
4.5,40.0,19.0,1.0,12.2,0.225,3.4545454545454546
3.5,43.0,0.0,62.0,5.9,0.175,0.0
2.1,46.0,18.0,33.0,6.6,0.10500000000000001,5.806451612903226
18.8,34.0,1.0,2.0,18.6,0.9400000000000001,0.050505050505050504
2.4,50.0,2.0,13.0,7.7,0.12,0.5882352941176471
0.5,55.0,16.0,51.0,4.3,0.025,10.666666666666666
1.7,59.0,12.0,63.0,5.4,0.08499999999999999,4.444444444444444
19.0,29.0,10.0,61.0,20.9,0.95,0.5
12.7,30.0,14.0,93.0,20.7,0.635,1.0218978102189782
17.2,31.0,9.0,10.0,18.9,0.86,0.4945054945054945
7.7,45.0,7.0,6.0,7.5,0.385,0.8045977011494253
3.4,24.0,15.0,84.0,9.9,0.16999999999999998,3.4090909090909087
6.8,24.0,17.0,58.0,13.0,0.33999999999999997,2.1794871794871797
17.6,26.0,6.0,40.0,19.5,0.8800000000000001,0.3225806451612903
7.1,49.0,15.0,29.0,13.0,0.355,1.8518518518518519
12.3,41.0,11.0,59.0,13.1,0.615,0.8270676691729323
12.9,54.0,10.0,43.0,13.3,0.645,0.7194244604316546
6.3,49.0,7.0,60.0,11.2,0.315,0.9589041095890412
11.5,36.0,3.0,46.0,15.0,0.575,0.24
11.6,43.0,12.0,3.0,16.8,0.58,0.9523809523809524
4.6,43.0,8.0,50.0,8.7,0.22999999999999998,1.4285714285714286
9.5,41.0,9.0,85.0,15.2,0.475,0.8571428571428571
